asset_no,warranty_start,warranty_expire,warranty_months
130000013689,2019-09-07,2021-09-07,24
130000013690,2019-09-07,2021-09-07,24
130000013721,2019-10-15,2020-10-15,12
130000013722,2019-10-15,2020-10-15,12
130000013725,2019-10-15,2020-10-15,12
130000013726,2019-10-15,2020-10-15,12
130000013727,2019-10-15,2020-10-15,12
130000013728,2019-10-15,2020-10-15,12
130000013731,2019-10-15,2020-10-15,12
130000013732,2019-10-15,2020-10-15,12
130000013733,2019-10-15,2020-10-15,12
130000013734,2019-10-15,2020-10-15,12
130000013735,2019-10-15,2020-10-15,12
130000013736,2019-10-15,2020-10-15,12
130000013738,2019-10-15,2020-10-15,12
130000013739,2019-10-15,2020-10-15,12
130000013740,2019-10-15,2020-10-15,12
130000013741,2019-10-18,2020-10-18,12
130000013742,2019-10-18,2020-10-18,12
130000013743,2019-10-18,2020-10-18,12
130000013744,2019-10-18,2020-10-18,12
130000013745,2019-10-18,2020-10-18,12
130000013746,2019-10-18,2020-10-18,12
130000013747,2019-10-18,2020-10-18,12
130000013748,2019-10-18,2020-10-18,12
130000013749,2019-10-18,2020-10-18,12
130000013750,2019-10-18,2020-10-18,12
130000013751,2019-10-18,2020-10-18,12
130000013752,2019-10-18,2020-10-18,12
130000013753,2019-10-18,2020-10-18,12
130000013754,2019-10-18,2020-10-18,12
130000013755,2019-10-18,2020-10-18,12
130000013756,2019-10-18,2020-10-18,12
130000013757,2019-10-18,2020-10-18,12
130000013758,2019-10-18,2020-10-18,12
130000013759,2019-10-18,2020-10-18,12
130000013760,2019-10-18,2020-10-18,12
130000013761,2019-10-11,2020-10-11,12
130000013762,2019-10-22,2020-10-22,12
130000013763,2019-10-22,2020-10-22,12
130000013764,2019-10-22,2020-10-22,12
130000013765,2019-10-22,2020-10-22,12
130000013766,2019-10-22,2020-10-22,12
130000013767,2019-10-22,2020-10-22,12
130000013768,2019-10-22,2020-10-22,12
130000013769,2019-10-22,2020-10-22,12
130000013770,2019-10-22,2020-10-22,12
130000013787,2019-10-26,2024-10-26,61
130000013788,2019-10-26,2024-10-26,61
130000013789,2019-10-26,2024-10-26,61
130000013790,2019-10-26,2024-10-26,61
130000013810,2019-10-08,2021-10-08,24
130000013811,2019-10-08,2020-10-08,12
130000013812,2019-10-08,2020-10-08,12
130000013813,2019-10-08,2020-10-08,12
130000013814,2019-10-08,2020-10-08,12
130000013815,2019-10-08,2020-10-08,12
130000013922,2019-10-11,2021-10-11,24
130000013923,2019-10-11,2021-10-11,24
130000013924,2019-10-11,2021-10-11,24
130000013925,2019-10-11,2021-10-11,24
130000013926,2019-10-11,2021-10-11,24
130000013954,2019-09-17,2024-09-17,61
130000013956,2019-09-17,2024-09-17,61
130000013957,2019-09-17,2024-09-17,61
130000013966,2019-10-18,2021-10-18,24
130000013967,2019-10-18,2021-10-18,24
130000013968,2019-10-18,2021-10-18,24
130000013969,2019-10-18,2021-10-18,24
130000013970,2019-10-18,2021-10-18,24
130000013993,2019-10-28,2021-10-28,24
130000013994,2019-10-28,2020-10-28,12
130000013995,2019-10-28,2020-10-28,12
130000013996,2019-10-28,2020-10-28,12
130000013998,2019-10-28,2020-10-28,12
130000014021,2019-10-21,2024-10-21,61
130000014022,2019-10-21,2024-10-21,61
130000014023,2019-10-21,2024-10-21,61
130000014024,2019-10-21,2024-10-21,61
130000014025,2019-10-16,2024-10-16,61
130000014026,2019-10-16,2024-10-16,61
130000014027,2019-10-16,2024-10-16,61
130000014029,2019-10-21,2024-10-21,61
130000014030,2019-10-28,2020-10-28,12
130000014031,2019-10-28,2020-10-28,12
130000014032,2019-10-28,2020-10-28,12
130000014033,2019-10-28,2020-10-28,12
130000014035,2019-10-28,2020-10-28,12
130000014036,2019-10-28,2020-10-28,12
130000014059,2019-10-29,2024-10-29,61
130000014060,2019-10-29,2024-10-29,61
130000014061,2019-10-29,2024-10-29,61
130000014062,2019-10-29,2024-10-29,61
130000014063,2019-10-29,2024-10-29,61
130000014064,2019-10-29,2024-10-29,61
130000014065,2019-10-28,2021-10-28,24
130000014066,2019-10-28,2021-10-28,24
130000014067,2019-10-28,2021-10-28,24
130000014068,2019-10-28,2021-10-28,24
130000014069,2019-10-28,2021-10-28,24
130000014070,2019-10-28,2021-10-28,24
130000014099,2019-11-13,2020-11-13,12
130000014100,2019-11-13,2020-11-13,12
130000014101,2019-11-13,2020-11-13,12
130000014102,2019-11-13,2020-11-13,12
130000014103,2019-10-28,2020-10-28,12
130000014104,2019-11-13,2021-11-13,24
130000014105,2019-11-13,2021-11-13,24
130000014128,2019-11-10,2024-11-10,61
130000014129,2019-11-10,2024-11-10,61
130000014130,2019-11-10,2024-11-10,61
130000014131,2019-11-10,2024-11-10,61
130000014132,2019-11-10,2024-11-10,61
130000014133,2019-11-10,2024-11-10,61
130000014155,2019-10-22,2021-10-22,24
130000014156,2019-10-22,2021-10-22,24
130000014157,2019-10-22,2021-10-22,24
130000014158,2019-10-22,2021-10-22,24
130000014159,2019-10-22,2021-10-22,24
130000014188,2019-10-22,2021-10-22,24
130000014297,2019-10-11,2021-10-11,24
130000014298,2019-10-11,2021-10-11,24
130000014299,2019-10-11,2021-10-11,24
130000014300,2019-10-11,2021-10-11,24
130000014301,2019-10-11,2021-10-11,24
130000014302,2019-10-11,2021-10-11,24
130000014304,2019-10-10,2024-10-10,61
130000014310,2019-11-29,2020-11-29,12
130000014311,2019-12-09,2020-12-09,12
130000014312,2019-12-09,2020-12-09,12
130000014313,2019-12-09,2020-12-09,12
130000014314,2019-12-09,2020-12-09,12
130000014315,2019-12-09,2020-12-09,12
130000014316,2019-12-09,2020-12-09,12
130000014317,2019-12-09,2020-12-09,12
130000014318,2019-12-09,2020-12-09,12
130000014319,2019-10-22,2020-10-22,12
130000014320,2019-10-11,2020-10-11,12
130000014321,2019-10-11,2020-10-11,12
130000014322,2019-10-11,2020-10-11,12
130000014323,2019-10-11,2020-10-11,12
130000014333,2019-10-14,2024-10-14,61
130000014338,2019-10-18,2024-10-18,61
130000014339,2019-10-18,2024-10-18,61
130000014340,2019-10-18,2024-10-18,61
130000014341,2019-10-18,2024-10-18,61
130000014388,2019-10-01,2021-10-01,24
130000014513,2019-10-01,2020-10-01,12
130000014514,2019-10-01,2020-10-01,12
130000014515,2019-10-01,2020-10-01,12
130000014516,2019-10-01,2020-10-01,12
130000014517,2019-10-01,2020-10-01,12
130000014540,2019-10-01,2021-10-01,24
130000014541,2019-10-01,2021-10-01,24
130000014542,2019-10-01,2021-10-01,24
130000014543,2019-10-01,2021-10-01,24
130000014575,2019-11-07,2021-11-07,24
130000014576,2019-11-07,2021-11-07,24
130000014577,2019-11-07,2021-11-07,24
130000014578,2019-11-07,2021-11-07,24
130000014579,2019-11-07,2021-11-07,24
130000014580,2019-11-07,2021-11-07,24
130000014603,2019-11-10,2024-11-10,61
130000014604,2019-11-10,2024-11-10,61
130000014605,2019-11-10,2024-11-10,61
130000014606,2019-11-10,2024-11-10,61
130000014607,2019-11-10,2024-11-10,61
130000014608,2019-11-10,2024-11-10,61
130000014609,2019-11-11,2021-11-11,24
130000014610,2019-11-11,2021-11-11,24
130000014611,2019-11-11,2021-11-11,24
130000014612,2019-11-11,2021-11-11,24
130000014613,2019-11-11,2021-11-11,24
